pair1,pair2,study,species
bing,guidon,Gustavo,Dataset1
Bobcat_B30F,Bobcat_B37M,Serieys,AromasHills
Boadicea,Davy,Wilmers,Panthera leo
beverly,derek,Gustavo,Dataset1
B12M_5617,B13M_5616,Serieys,CoyoteValley
B24F_5613,B25M_5618,Serieys,CoyoteValley
BOBB,VORB,Bertreaux,Vulpes lagopus
PEC079,PEC082,Wheeldon,Canis latrans
PEC012,PEC023,Wheeldon,Canis latrans
BergWind,Hope,Serieys,Caracal caracal
PEC042,PEC043,Wheeldon,Canis latrans
PEC113,PEC137,Wheeldon,Canis latrans
id13,per,Gustavo,Cerdocyon thous
OJOO,RVJO,Bertreaux,Vulpes lagopus
Leon,Tejo,Palomares,Felis silvestris
Fleita,Tejo,Palomares,Felis silvestris
77M,78F,Wilmers,Puma concolor
150312,150402,Gustavo,Cerdocyon thous
B077,B080,Hebblewhite,Canis lupus
peary,schaller,Gustavo,Dataset1
NCF2,NCM4,Bogdan,Caracal caracal
B18F_5614,B22M_5969,Serieys,CoyoteValley
Grupo005_Id020,Grupo005_Id031,Gustavo,Leopardus geoffroyi
Ada,Oli,Roshier,Vulpes vulpes
PEC113,PEC116,Wheeldon,Canis latrans
BBJO,JMVJ,Bertreaux,Vulpes lagopus
Bobcat_B27M,Bobcat_B28M,Serieys,AromasHills
id11,luck,Gustavo,Cerdocyon thous
lana,mel,Gustavo,Cerdocyon thous
BORR,RMJJ,Bertreaux,Vulpes lagopus
manaya,maori,Gustavo,Dataset2
Grupo005_Id021,Grupo005_Id024,Gustavo,Leopardus geoffroyi
PEC002,PEC020,Wheeldon,Canis latrans
Lynx_Oriel,Lynx_Osiris,Extremadura,Lynx pardinus
PEC005,PEC018,Wheeldon,Canis latrans
Grupo005_Id031,Grupo023_Id001,Gustavo,Leopardus geoffroyi
PEC116,PEC137,Wheeldon,Canis latrans
PEC108,PEC120,Wheeldon,Canis latrans
id16,mel,Gustavo,Cerdocyon thous
Lou,Oli,Roshier,Vulpes vulpes
Scarlett,Titan,Serieys,Caracal caracal
PEC001,PEC020,Wheeldon,Canis latrans
barros,constance,Gustavo,Dataset1
PEC002,PEC011,Wheeldon,Canis latrans
CAN51,CAN52,Gustavo,Leopardus geoffroyi
150552,164900,Gustavo,Cerdocyon thous
itatiaia,kraho,Gustavo,Dataset2
B16M_5973,B20F_5968,Serieys,CoyoteValley
Cat,Oli,Roshier,Vulpes vulpes
NCF4,NCM13,Bogdan,Caracal caracal
PEC006,PEC008,Wheeldon,Canis latrans
PEC074,PEC079,Wheeldon,Canis latrans
Grupo005_Id020,Grupo023_Id001,Gustavo,Leopardus geoffroyi
kia,manaya,Gustavo,Dataset2
Strandloper,Xolani,Serieys,Caracal caracal
PEC114,PEC122,Wheeldon,Canis latrans
PEC059,PEC066,Wheeldon,Canis latrans
Grupo005_Id003_2,Grupo005_Id019,Gustavo,Leopardus geoffroyi
PEC074,PEC082,Wheeldon,Canis latrans
Ewaso,Mzee,Wilmers,Panthera pardus
11F,22M,Wilmers,Puma concolor
B01M_5623,B04M_5619,Serieys,CoyoteValley
B10F_5972,B15M_5612,Serieys,CoyoteValley
OBOB,RMBR,Bertreaux,Vulpes lagopus
manaya,terena,Gustavo,Dataset2
Bobcat_B34F,Bobcat_B37M,Serieys,AromasHills
BJVO,OBJB,Bertreaux,Vulpes lagopus
Bobcat_B30F,Bobcat_B34F,Serieys,AromasHills
Grupo005_Id022,Grupo005_Id023,Gustavo,Leopardus geoffroyi
Bobcat_B27M,Bobcat_B31M,Serieys,AromasHills
PEC087,PEC091,Wheeldon,Canis latrans
26M,31M,Wilmers,Puma concolor
JBOR,JMVJ,Bertreaux,Vulpes lagopus
kraho,terena,Gustavo,Dataset2
id16,lana,Gustavo,Cerdocyon thous
kayapo,maori,Gustavo,Dataset2
B17F_5621,B19F_5971,Serieys,CoyoteValley
PEC029,PEC032,Wheeldon,Canis latrans
1649671,1651941,Gustavo,Cerdocyon thous
PEC009,PEC032,Wheeldon,Canis latrans
PEC011,PEC012,Wheeldon,Canis latrans
150102,164820,Gustavo,Cerdocyon thous
109F,98F,Wilmers,Puma concolor
K008,K013,Hebblewhite,Canis lupus
PEC001,PEC002,Wheeldon,Canis latrans
PEC011,PEC020,Wheeldon,Canis latrans
Grupo005_Id002,Grupo005_Id018,Gustavo,Leopardus wiedii
B11F_5967,B15M_5612,Serieys,CoyoteValley
id16,luck,Gustavo,Cerdocyon thous
CAN52,CAN53,Gustavo,Leopardus geoffroyi
PEC011,PEC023,Wheeldon,Canis latrans
PEC052,PEC054,Wheeldon,Canis latrans
PEC036,PEC037,Wheeldon,Canis latrans
Bagheera,Sunshine,Drouilly,Caracal caracal
PEC080,PEC088,Wheeldon,Canis latrans
48M,51M,Wilmers,Puma concolor
Apethe,Merimela,Wilmers,Panthera leo
Marine,Ratel,Serieys,Caracal caracal
Jim,Liz,Roshier,Vulpes vulpes
Bobcat_B28M,Bobcat_B31M,Serieys,AromasHills
150312,164820,Gustavo,Cerdocyon thous
id11,mel,Gustavo,Cerdocyon thous
B03F_5622/5974,B17F_5621,Serieys,CoyoteValley
PEC112,PEC137,Wheeldon,Canis latrans
80F,83M,Wilmers,Puma concolor
150462,150552,Gustavo,Cerdocyon thous
Grupo005_Id003,Grupo005_Id019,Gustavo,Leopardus geoffroyi
PEC112,PEC113,Wheeldon,Canis latrans
164957,1652521,Gustavo,Cerdocyon thous
Lynx_Komodo,Lynx_Lechuza,Extremadura,Lynx pardinus
Apethe,Dakteri,Wilmers,Panthera leo
kia,terena,Gustavo,Dataset2
BergWind,FireLily,Serieys,Caracal caracal
itatiaia,terena,Gustavo,Dataset2
B16M_5973,B25M_5618,Serieys,CoyoteValley
Bobcat_B30F,Bobcat_B32F,Serieys,AromasHills
Garfio,Pepe,Palomares,Felis silvestris
Bobcat_B32F,Bobcat_B37M,Serieys,AromasHills
PEC002,PEC012,Wheeldon,Canis latrans
PEC001,PEC011,Wheeldon,Canis latrans
luck,mel,Gustavo,Cerdocyon thous
id11,lana,Gustavo,Cerdocyon thous
150011,164900,Gustavo,Cerdocyon thous
NCM10,NCM8,Bogdan,Caracal caracal
CAN51,CAN53,Gustavo,Leopardus geoffroyi
PEC002,PEC023,Wheeldon,Canis latrans
150011,150402,Gustavo,Cerdocyon thous
kraho,manaya,Gustavo,Dataset2
PEC105,PEC108,Wheeldon,Canis latrans
PEC112,PEC116,Wheeldon,Canis latrans
PEC105,PEC106,Wheeldon,Canis latrans
Deniz,Hazar,Cagan,Lynx lynx
PEC043,PEC044,Wheeldon,Canis latrans
PEC018,PEC030,Wheeldon,Canis latrans
B10F_5972,B11F_5967,Serieys,CoyoteValley
K019,K021,Hebblewhite,Canis lupus
PEC081,PEC120,Wheeldon,Canis latrans
B15M_5612,B23M_5624,Serieys,CoyoteValley
Diabla,Jasiri,Wilmers,Panthera leo
OBOB,ORRR,Bertreaux,Vulpes lagopus
B09M_5609,B18F_5614,Serieys,CoyoteValley
Frans_2,Mattias,Walton,Vulpes vulpes
150462,164900,Gustavo,Cerdocyon thous
Mem,Zoe,Roshier,Vulpes vulpes
lana,luck,Gustavo,Cerdocyon thous
150102,150402,Gustavo,Cerdocyon thous
B081,B082,Hebblewhite,Canis lupus
PEC012,PEC020,Wheeldon,Canis latrans
PEC112,PEC122,Wheeldon,Canis latrans
PEC009,PEC014,Wheeldon,Canis latrans
constance,guidon,Gustavo,Dataset1
id17,luck,Gustavo,Cerdocyon thous
bing,constance,Gustavo,Dataset1
NCM13,NCM9,Bogdan,Caracal caracal
JVOJ,ORRR,Bertreaux,Vulpes lagopus
Ginger,Sunshine,Drouilly,Caracal caracal
kraho,maori,Gustavo,Dataset2
PEC020,PEC023,Wheeldon,Canis latrans
B17F_5621,B25M_5618,Serieys,CoyoteValley
Bagheera,Marina,Drouilly,Caracal caracal
B09M_5609,B22M_5969,Serieys,CoyoteValley
B20F_5968,B25M_5618,Serieys,CoyoteValley
B03F_5622/5974,B19F_5971,Serieys,CoyoteValley
150102,150312,Gustavo,Cerdocyon thous
Ivy,Ken2017,Roshier,Dataset1
PEC105,PEC120,Wheeldon,Canis latrans
150011,150552,Gustavo,Cerdocyon thous
BBJO,OBBB,Bertreaux,Vulpes lagopus
itatiaia,manaya,Gustavo,Dataset2
janine,schaller,Gustavo,Dataset1
28F,7F,Wilmers,Puma concolor
Clint,Degana,Palomares,Felis silvestris
Bobcat_B32F,Bobcat_B34F,Serieys,AromasHills
Hope,Madala,Serieys,Caracal caracal
PEC081,PEC108,Wheeldon,Canis latrans
Ern,Ros,Roshier,Vulpes vulpes
PEC004,PEC018,Wheeldon,Canis latrans
kia,kraho,Gustavo,Dataset2
B03F_5622/5974,B06M_5625,Serieys,CoyoteValley
Bigpaw,Marina,Drouilly,Caracal caracal
Bilge,Hazar,Cagan,Lynx lynx
PEC066,PEC094,Wheeldon,Canis latrans
BergWind,Madala,Serieys,Caracal caracal
Ken2017,Ray,Roshier,Dataset1
NCM1,NCM2,Bogdan,Caracal caracal
PEC001,PEC012,Wheeldon,Canis latrans
BOBB,BVOB,Bertreaux,Vulpes lagopus
107M,95F,Wilmers,Puma concolor
PEC103,PEC110,Wheeldon,Canis latrans
barros,guidon,Gustavo,Dataset1
JMVJ,OBBB,Bertreaux,Vulpes lagopus
barros,bing,Gustavo,Dataset1
PEC023,PEC027,Wheeldon,Canis latrans
Dakteri,Merimela,Wilmers,Panthera leo
Grupo000_Id000,Grupo005_Id001,Gustavo,Leopardus wiedii
PEC001,PEC023,Wheeldon,Canis latrans
Grupo005_Id015,Grupo005_Id019,Gustavo,Leopardus geoffroyi
B05F_5628/5620,B06M_5625,Serieys,CoyoteValley
PEC068,PEC080,Wheeldon,Canis latrans
Lynx_Kakapo,Lynx_Kun,Extremadura,Lynx pardinus
NCF4,NCM9,Bogdan,Caracal caracal
PEC112,PEC114,Wheeldon,Canis latrans
164957,165194,Gustavo,Cerdocyon thous
PEC012,PEC027,Wheeldon,Canis latrans
PEC004,PEC005,Wheeldon,Canis latrans
Charlotte,Jasiri,Wilmers,Panthera leo
28F,31M,Wilmers,Puma concolor
20F,2F,Wilmers,Puma concolor
B05F_5628/5620,B19F_5971,Serieys,CoyoteValley
PEC014,PEC032,Wheeldon,Canis latrans
itatiaia,kia,Gustavo,Dataset2
PEC104,PEC114,Wheeldon,Canis latrans
Grupo005_Id031,Grupo023_Id003,Gustavo,Leopardus geoffroyi
B19F_5971,B25M_5618,Serieys,CoyoteValley
Celada,Fleita,Palomares,Felis silvestris
150312,164900,Gustavo,Cerdocyon thous
id03,luck,Gustavo,Cerdocyon thous
10F,38F,Wilmers,Puma concolor
Moe,Zoe,Roshier,Vulpes vulpes
id16,id17,Gustavo,Cerdocyon thous
Maggie,Mkogwe,Wilmers,Panthera leo
PEC043,PEC054,Wheeldon,Canis latrans
Bagheera,Ginger,Drouilly,Caracal caracal
Marina,Sunshine,Drouilly,Caracal caracal
Grupo005_Id020,Grupo023_Id003,Gustavo,Leopardus geoffroyi
PEC122,PEC137,Wheeldon,Canis latrans
M1,Mirinha,Gustavo,Puma concolor
BVOB,JMVJ,Bertreaux,Vulpes lagopus
150402,164900,Gustavo,Cerdocyon thous
PEC082,PEC083,Wheeldon,Canis latrans
Fay,Wal,Roshier,Dataset2
BOBB,OBBB,Bertreaux,Vulpes lagopus
B082,B084,Hebblewhite,Canis lupus
Chumvi,Limofu,Wilmers,Panthera pardus
PEC042,PEC054,Wheeldon,Canis latrans
PEC079,PEC083,Wheeldon,Canis latrans
42M,48M,Wilmers,Puma concolor
Strandloper,Zola,Serieys,Caracal caracal
B03F_5622/5974,B07M_5627,Serieys,CoyoteValley
Grupo005_Id017_2,Grupo005_Id019,Gustavo,Leopardus geoffroyi
PEC106,PEC108,Wheeldon,Canis latrans
Grupo005_Id003_2,Grupo005_Id015,Gustavo,Leopardus geoffroyi
JBOR,OBBB,Bertreaux,Vulpes lagopus
Mattias,Spank,Walton,Vulpes vulpes
150011,150462,Gustavo,Cerdocyon thous
BBJO,BVOB,Bertreaux,Vulpes lagopus
B16M_5973,B17F_5621,Serieys,CoyoteValley
id17,mel,Gustavo,Cerdocyon thous
150011,150102,Gustavo,Cerdocyon thous
Roy,Vic,Roshier,Dataset2
150312,150552,Gustavo,Cerdocyon thous
BORR,VJOO,Bertreaux,Vulpes lagopus
Baru,Mirinha,Gustavo,Puma concolor
NCM3,NCM4,Bogdan,Caracal caracal
PEC011,PEC027,Wheeldon,Canis latrans
PEC116,PEC122,Wheeldon,Canis latrans
51M,53F,Wilmers,Puma concolor
26M,28F,Wilmers,Puma concolor
Grupo005_Id017,Grupo005_Id023,Gustavo,Leopardus geoffroyi
B14M_5613,B18F_5614,Serieys,CoyoteValley
PEC087,PEC090,Wheeldon,Canis latrans
PEC068,PEC088,Wheeldon,Canis latrans
164886,165224,Gustavo,Cerdocyon thous
B05F_5628/5620,B17F_5621,Serieys,CoyoteValley
150402,150552,Gustavo,Cerdocyon thous
Grupo005_Id015,Grupo023_Id001,Gustavo,Leopardus geoffroyi
PEC107,PEC129,Wheeldon,Canis latrans
PEC005,PEC007,Wheeldon,Canis latrans
PEC044,PEC052,Wheeldon,Canis latrans
PEC106,PEC120,Wheeldon,Canis latrans
FireLily,Madala,Serieys,Caracal caracal
PEC114,PEC137,Wheeldon,Canis latrans
Jen,Oli,Roshier,Vulpes vulpes
Lynx_Komodo,Lynx_Kun,Extremadura,Lynx pardinus
id17,lana,Gustavo,Cerdocyon thous
Grupo005_Id003,Grupo005_Id015,Gustavo,Leopardus geoffroyi
Bobcat_B35F,Bobcat_B36F,Serieys,AromasHills
PEC074,PEC083,Wheeldon,Canis latrans
barros,schaller,Gustavo,Dataset1
Xolani,Zola,Serieys,Caracal caracal
114F,116M,Wilmers,Puma concolor
PEC113,PEC114,Wheeldon,Canis latrans
Bobcat_B28M,Bobcat_B32F,Serieys,AromasHills
24F,4M,Wilmers,Puma concolor
165194,1652521,Gustavo,Cerdocyon thous
Bilge,Deniz,Cagan,Lynx lynx
PEC070,PEC080,Wheeldon,Canis latrans
107M,38F,Wilmers,Puma concolor
B17F_5621,B20F_5968,Serieys,CoyoteValley
id03,per,Gustavo,Cerdocyon thous
164820,164900,Gustavo,Cerdocyon thous
barros,peary,Gustavo,Dataset1
80F,81F,Wilmers,Puma concolor
113M,25F,Wilmers,Puma concolor
B12M_5617,B19F_5971,Serieys,CoyoteValley
B14M_5613,B15M_5612,Serieys,CoyoteValley
PEC007,PEC018,Wheeldon,Canis latrans
Bella,Maggie,Wilmers,Panthera leo
B09M_5609,B23M_5624,Serieys,CoyoteValley
B13M_5616,B19F_5971,Serieys,CoyoteValley
Eloise,Shandy,Wilmers,Panthera leo
PEC114,PEC116,Wheeldon,Canis latrans
Bobcat_B27M,Bobcat_B32F,Serieys,AromasHills
Jen,Lou,Roshier,Vulpes vulpes
B11F_5967,B13M_5616,Serieys,CoyoteValley
B16M_5973,B19F_5971,Serieys,CoyoteValley
Bagheera,Bigpaw,Drouilly,Caracal caracal
B11F_5967,B12M_5617,Serieys,CoyoteValley
41M,42M,Wilmers,Puma concolor
Grupo005_Id017,Grupo005_Id022,Gustavo,Leopardus geoffroyi
CAN06,CAN13,Gustavo,Leopardus geoffroyi
PEC090,PEC091,Wheeldon,Canis latrans
id03,mel,Gustavo,Cerdocyon thous
Farasi,Shandy,Wilmers,Panthera leo
constance,schaller,Gustavo,Dataset1
23F,36M,Wilmers,Puma concolor
Frans_1,Spank,Walton,Vulpes vulpes
Ivy,Ray,Roshier,Dataset1
Charlotte,Diabla,Wilmers,Panthera leo
J015,J016,Hebblewhite,Canis lupus
PEC020,PEC027,Wheeldon,Canis latrans
Marine,West,Serieys,Caracal caracal
1651941,165252,Gustavo,Cerdocyon thous
peary,shack,Gustavo,Dataset1
B077,B083,Hebblewhite,Canis lupus
150552,164820,Gustavo,Cerdocyon thous
constance,peary,Gustavo,Dataset1
48M,53F,Wilmers,Puma concolor
150102,150681,Gustavo,Cerdocyon thous
Janne,Niklas,Walton,Vulpes vulpes
J015,J018,Hebblewhite,Canis lupus
150312,150462,Gustavo,Cerdocyon thous
Mem,Moe,Roshier,Vulpes vulpes
id03,lana,Gustavo,Cerdocyon thous
NCF1,NCM12,Bogdan,Caracal caracal
12F,2F,Wilmers,Puma concolor
schaller,shack,Gustavo,Dataset1
B03F_5622/5974,B05F_5628/5620,Serieys,CoyoteValley
164886,165164,Gustavo,Cerdocyon thous
B080,B083,Hebblewhite,Canis lupus
B01M_5623,B05F_5628/5620,Serieys,CoyoteValley
B19F_5971,B20F_5968,Serieys,CoyoteValley
BORR,RMBR,Bertreaux,Vulpes lagopus
150402,150462,Gustavo,Cerdocyon thous
31M,7F,Wilmers,Puma concolor
150102,164900,Gustavo,Cerdocyon thous
B12M_5617,B17F_5621,Serieys,CoyoteValley
B081,B084,Hebblewhite,Canis lupus
Ginger,Marina,Drouilly,Caracal caracal
id17,per,Gustavo,Cerdocyon thous
PEC001,PEC019,Wheeldon,Canis latrans
PEC068,PEC074,Wheeldon,Canis latrans
B13M_5616,B17F_5621,Serieys,CoyoteValley
Bobcat_B31M,Bobcat_B32F,Serieys,AromasHills
Frans_2,Spank,Walton,Vulpes vulpes
29F,36M,Wilmers,Puma concolor
id15,id18,Gustavo,Cerdocyon thous
PEC104,PEC107,Wheeldon,Canis latrans
B09M_5609,B10F_5972,Serieys,CoyoteValley
id13,id17,Gustavo,Cerdocyon thous
PEC039,PEC041,Wheeldon,Canis latrans
Chunga,Victoria,Wilmers,Panthera leo
RMBR,RMJJ,Bertreaux,Vulpes lagopus
B13M_5616,B15M_5612,Serieys,CoyoteValley
Bobcat_B38M,Bobcat_GF01F,Serieys,AromasHills
Bigpaw,Sunshine,Drouilly,Caracal caracal
B12M_5617,B15M_5612,Serieys,CoyoteValley
Faya,Fleita,Palomares,Felis silvestris
Bobcat_B28M,Bobcat_B30F,Serieys,AromasHills
Bobcat_B28M,Bobcat_B37M,Serieys,AromasHills
Ern,Kev,Roshier,Vulpes vulpes
id15,lana,Gustavo,Cerdocyon thous
PEC104,PEC112,Wheeldon,Canis latrans
BORR,JVOJ,Bertreaux,Vulpes lagopus
Cecia,Margarita,Wilmers,Panthera leo
1649671,165252,Gustavo,Cerdocyon thous
B06M_5625,B07M_5627,Serieys,CoyoteValley
PEC081,PEC106,Wheeldon,Canis latrans
Faya,Tejo,Palomares,Felis silvestris
150102,150552,Gustavo,Cerdocyon thous
B04M_5619,B05F_5628/5620,Serieys,CoyoteValley
BVOB,OBBB,Bertreaux,Vulpes lagopus
PEC019,PEC020,Wheeldon,Canis latrans
W126,W127,Hebblewhite,Canis lupus
150681,164820,Gustavo,Cerdocyon thous
Ann_2,Niklas,Walton,Vulpes vulpes
BBJO,VJOO,Bertreaux,Vulpes lagopus
PEC089,PEC093,Wheeldon,Canis latrans
Cristina_1,Kenneth,Walton,Vulpes vulpes
Ratel,West,Serieys,Caracal caracal
BORR,OBOB,Bertreaux,Vulpes lagopus
BORR,BVOB,Bertreaux,Vulpes lagopus
PEC068,PEC079,Wheeldon,Canis latrans
Bobcat_B27M,Bobcat_B30F,Serieys,AromasHills
Oskar_1,Spank,Walton,Vulpes vulpes
Bea,Oli,Roshier,Vulpes vulpes
id15,mel,Gustavo,Cerdocyon thous
26M,7F,Wilmers,Puma concolor
PEC068,PEC082,Wheeldon,Canis latrans
PEC093,PEC094,Wheeldon,Canis latrans
K022,K029,Hebblewhite,Canis lupus
B09M_5609,B15M_5612,Serieys,CoyoteValley
NCF1,NCM8,Bogdan,Caracal caracal
Ada,Bea,Roshier,Vulpes vulpes
B18F_5614,B23M_5624,Serieys,CoyoteValley
PEC002,PEC019,Wheeldon,Canis latrans
Grupo005_Id017,Grupo005_Id019,Gustavo,Leopardus geoffroyi
OBOB,RMJJ,Bertreaux,Vulpes lagopus
